id,model_name,architecture_config,semantic_answer_reference_similarity,semantic_context_reference_similarity,semantic_question_answer_alignment,semantic_question_context_alignment,semantic_answer_mean,semantic_context_mean,semantic_mean
q_001,Llama 3.2 1B,SLM,0.8347762823104858,,0.8526158332824707,,0.8436960577964783,,0.8436960577964783
q_002,Llama 3.2 1B,SLM,0.7588666677474976,,0.7702779173851013,,0.7645722925662994,,0.7645722925662994
q_003,Llama 3.2 1B,SLM,0.7828463315963745,,0.8077807426452637,,0.7953135371208191,,0.7953135371208191
q_004,Llama 3.2 1B,SLM,0.8014243841171265,,0.7888135313987732,,0.7951189577579498,,0.7951189577579498
q_005,Llama 3.2 1B,SLM,0.766006588935852,,0.7890485525131226,,0.7775275707244873,,0.7775275707244873
q_006,Llama 3.2 1B,SLM,0.8318754434585571,,0.8162633180618286,,0.8240693807601929,,0.8240693807601929
q_007,Llama 3.2 1B,SLM,0.8367345929145813,,0.8805197477340698,,0.8586271703243256,,0.8586271703243256
q_008,Llama 3.2 1B,SLM,0.8012577891349792,,0.8480560779571533,,0.8246569335460663,,0.8246569335460663
q_009,Llama 3.2 1B,SLM,0.8264812231063843,,0.8682940006256104,,0.8473876118659973,,0.8473876118659973
q_010,Llama 3.2 1B,SLM,0.7319588661193848,,0.910571813583374,,0.8212653398513794,,0.8212653398513794
q_011,Llama 3.2 1B,SLM,0.7401943206787109,,0.7848761081695557,,0.7625352144241333,,0.7625352144241333
q_012,Llama 3.2 1B,SLM,0.8496109247207642,,0.8930022716522217,,0.8713065981864929,,0.8713065981864929
q_013,Llama 3.2 1B,SLM,0.7831981182098389,,0.8638978004455566,,0.8235479593276978,,0.8235479593276978
q_014,Llama 3.2 1B,SLM,0.7395986318588257,,0.8432315587997437,,0.7914150953292847,,0.7914150953292847
q_015,Llama 3.2 1B,SLM,0.7639378905296326,,0.8759235143661499,,0.8199307024478912,,0.8199307024478912
q_016,Llama 3.2 1B,SLM,0.7327825427055359,,0.913291335105896,,0.8230369389057159,,0.8230369389057159
q_017,Llama 3.2 1B,SLM,0.8270484209060669,,0.8933858871459961,,0.8602171540260315,,0.8602171540260315
q_018,Llama 3.2 1B,SLM,0.8167418241500854,,0.8418282270431519,,0.8292850255966187,,0.8292850255966187
q_019,Llama 3.2 1B,SLM,0.6586288213729858,,0.7214086055755615,,0.6900187134742737,,0.6900187134742737
q_020,Llama 3.2 1B,SLM,0.8142808079719543,,0.8674588203430176,,0.840869814157486,,0.840869814157486
q_021,Llama 3.2 1B,SLM,0.8157318234443665,,0.8450391292572021,,0.8303854763507843,,0.8303854763507843
q_022,Llama 3.2 1B,SLM,0.8180140852928162,,0.8923304080963135,,0.8551722466945648,,0.8551722466945648
q_023,Llama 3.2 1B,SLM,0.7856212854385376,,0.8641058802604675,,0.8248635828495026,,0.8248635828495026
q_024,Llama 3.2 1B,SLM,0.7013421058654785,,0.7705949544906616,,0.7359685301780701,,0.7359685301780701
q_025,Llama 3.2 1B,SLM,0.6923143267631531,,0.7377586960792542,,0.7150365114212036,,0.7150365114212036
q_026,Llama 3.2 1B,SLM,0.7590987682342529,,0.8299145698547363,,0.7945066690444946,,0.7945066690444946
q_027,Llama 3.2 1B,SLM,0.787197470664978,,0.700330376625061,,0.7437639236450195,,0.7437639236450195
q_028,Llama 3.2 1B,SLM,0.821697473526001,,0.801965594291687,,0.811831533908844,,0.811831533908844
q_029,Llama 3.2 1B,SLM,0.7383211851119995,,0.8853409886360168,,0.8118310868740082,,0.8118310868740082
q_030,Llama 3.2 1B,SLM,0.7755144834518433,,0.905718982219696,,0.8406167328357697,,0.8406167328357697
q_031,Llama 3.2 1B,SLM,0.8525116443634033,,0.7671847343444824,,0.8098481893539429,,0.8098481893539429
q_032,Llama 3.2 1B,SLM,0.8187934160232544,,0.8721929788589478,,0.8454931974411011,,0.8454931974411011
q_033,Llama 3.2 1B,SLM,0.7697932124137878,,0.888547956943512,,0.8291705846786499,,0.8291705846786499
q_034,Llama 3.2 1B,SLM,0.8483697175979614,,0.8823156356811523,,0.8653426766395569,,0.8653426766395569
q_035,Llama 3.2 1B,SLM,0.8966014385223389,,0.8814636468887329,,0.8890325427055359,,0.8890325427055359
q_036,Llama 3.2 1B,SLM,0.8746778964996338,,0.8719561100006104,,0.8733170032501221,,0.8733170032501221
q_037,Llama 3.2 1B,SLM,0.8798964619636536,,0.910904049873352,,0.8954002559185028,,0.8954002559185028
q_038,Llama 3.2 1B,SLM,0.7199671268463135,,0.8466890454292297,,0.7833280861377716,,0.7833280861377716
q_039,Llama 3.2 1B,SLM,0.8356421589851379,,0.93470299243927,,0.885172575712204,,0.885172575712204
q_040,Llama 3.2 1B,SLM,0.8333816528320312,,0.8718148469924927,,0.852598249912262,,0.852598249912262
q_041,Llama 3.2 1B,SLM,0.8188698291778564,,0.7848477363586426,,0.8018587827682495,,0.8018587827682495
q_042,Llama 3.2 1B,SLM,0.8192496299743652,,0.8981817960739136,,0.8587157130241394,,0.8587157130241394
q_043,Llama 3.2 1B,SLM,0.8192663192749023,,0.8443372845649719,,0.8318018019199371,,0.8318018019199371
q_044,Llama 3.2 1B,SLM,0.8902514576911926,,0.9146981239318848,,0.9024747908115387,,0.9024747908115387
q_045,Llama 3.2 1B,SLM,0.8279621005058289,,0.8636459112167358,,0.8458040058612823,,0.8458040058612823
q_046,Llama 3.2 1B,SLM,0.7244822978973389,,0.7718451023101807,,0.7481637001037598,,0.7481637001037598
q_047,Llama 3.2 1B,SLM,0.7244900465011597,,0.9032554626464844,,0.813872754573822,,0.813872754573822
q_048,Llama 3.2 1B,SLM,0.8074103593826294,,0.8954101800918579,,0.8514102697372437,,0.8514102697372437
q_049,Llama 3.2 1B,SLM,0.8737359046936035,,0.872442364692688,,0.8730891346931458,,0.8730891346931458
q_050,Llama 3.2 1B,SLM,0.7871800661087036,,0.9361985921859741,,0.8616893291473389,,0.8616893291473389
q_051,Llama 3.2 1B,SLM,0.8670682907104492,,0.9557098746299744,,0.9113890826702118,,0.9113890826702118
q_052,Llama 3.2 1B,SLM,0.8518108129501343,,0.917206883430481,,0.8845088481903076,,0.8845088481903076
